,date,tic,open,high,low,close,volume,day
20824,2017-09-13,600000.SH,11.8415,11.8415,11.705,11.7141,319728.97,2
20825,2017-09-13,600009.SH,40.06,40.1573,38.9905,39.6905,72196.11,2
20826,2017-09-13,600016.SH,6.0137,6.0137,5.9704,5.9849,410805.14,2
20827,2017-09-13,600028.SH,4.7193,4.7272,4.6956,4.7193,492379.67,2
20828,2017-09-13,600030.SH,16.9512,17.008,16.8378,16.9134,542186.08,2
20829,2017-09-13,600031.SH,7.1969,7.4045,7.1875,7.3573,769036.46,2
20830,2017-09-13,600036.SH,24.1831,24.2197,23.8264,23.9362,328668.66,2
20831,2017-09-13,600048.SH,9.461,9.6023,9.4257,9.4787,691984.44,2
20832,2017-09-13,600050.SH,7.3891,7.3891,7.2915,7.3012,2038589.48,2
20833,2017-09-13,600104.SH,25.5633,25.5633,25.1777,25.2291,156507.64,2
20834,2017-09-14,600000.SH,11.7232,11.8142,11.6594,11.6958,241608.32,3
20835,2017-09-14,600009.SH,39.7489,40.3128,39.2433,39.5739,23313.52,3
20836,2017-09-14,600016.SH,5.9849,5.9921,5.9416,5.9488,681869.41,3
20837,2017-09-14,600028.SH,4.7193,4.7351,4.6956,4.7114,656247.22,3
20838,2017-09-14,600030.SH,16.9229,17.2065,16.904,16.9891,837307.59,3
20839,2017-09-14,600031.SH,7.3667,7.4139,7.2724,7.3101,397598.48,3
20840,2017-09-14,600036.SH,23.9453,24.0093,23.4606,23.6526,472234.52,3
20841,2017-09-14,600048.SH,9.4787,10.0087,9.4698,9.9998,1990892.71,3
20842,2017-09-14,600050.SH,7.3208,7.3891,7.2817,7.3012,2144939.56,3
20843,2017-09-14,600104.SH,25.2805,25.2805,24.852,24.8949,263409.19,3
20844,2017-09-15,600000.SH,11.6685,11.705,11.6048,11.6776,248743.12,4
20845,2017-09-15,600009.SH,39.4864,40.3517,39.3211,39.9045,31632.85,4
20846,2017-09-15,600016.SH,5.9416,5.956,5.9271,5.9416,515594.09,4
20847,2017-09-15,600028.SH,4.7114,4.7193,4.6797,4.6876,721502.76,4
20848,2017-09-15,600030.SH,16.9418,17.1498,16.8094,17.0458,786891.67,4
20849,2017-09-15,600031.SH,7.3196,7.329,7.2252,7.2535,314262.18,4
20850,2017-09-15,600036.SH,23.552,23.8538,23.4057,23.7532,327862.67,4
20851,2017-09-15,600048.SH,9.9822,10.6005,9.938,10.2914,2336594.99,4
20852,2017-09-15,600050.SH,7.311,7.311,7.1255,7.1353,3228468.42,4
20853,2017-09-15,600104.SH,24.852,24.9891,24.6464,24.9035,166797.45,4
20854,2017-09-18,600000.SH,11.6685,11.796,11.6503,11.7505,357475.29,0
20855,2017-09-18,600009.SH,39.8656,40.1573,38.7377,38.8057,58436.2,0
20856,2017-09-18,600016.SH,5.9416,5.9704,5.9416,5.956,498552.04,0
20857,2017-09-18,600028.SH,4.6876,4.7193,4.6876,4.6956,621271.3,0
20858,2017-09-18,600030.SH,17.0931,17.4334,17.0836,17.3767,1515102.47,0
20859,2017-09-18,600031.SH,7.2535,7.3667,7.2535,7.3573,370534.64,0
20860,2017-09-18,600036.SH,23.7532,23.8721,23.4971,23.5612,511077.28,0
20861,2017-09-18,600048.SH,10.3444,10.6447,10.0529,10.1147,1821343.15,0
20862,2017-09-18,600050.SH,7.1743,7.2231,6.9596,7.1451,5479115.17,0
20863,2017-09-18,600104.SH,24.9634,25.5205,24.9377,25.3662,314799.48,0
20864,2017-09-19,600000.SH,11.7687,11.7869,11.6685,11.7414,301701.24,1
20865,2017-09-19,600009.SH,38.6988,38.9905,37.9403,38.1543,56463.66,1
20866,2017-09-19,600016.SH,5.956,5.9776,5.9416,5.956,470043.21,1
20867,2017-09-19,600028.SH,4.7035,4.7193,4.6876,4.7114,517273.87,1
20868,2017-09-19,600030.SH,17.4712,17.4712,17.0931,17.1687,997249.45,1
20869,2017-09-19,600031.SH,7.3762,7.3856,7.2818,7.3101,342841.31,1
20870,2017-09-19,600036.SH,23.5886,24.0093,23.4971,23.9362,472741.18,1
20871,2017-09-19,600048.SH,10.1677,10.6094,10.1235,10.2384,1824444.8,1
20872,2017-09-19,600050.SH,7.106,7.1451,7.0182,7.0767,3125997.51,1
20873,2017-09-19,600104.SH,25.3234,25.4605,25.0234,25.092,180711.88,1
20874,2017-09-20,600000.SH,11.7232,11.7687,11.6776,11.7232,198671.48,2
20875,2017-09-20,600009.SH,38.1154,38.1154,37.143,37.2986,96779.81,2
20876,2017-09-20,600016.SH,5.956,5.9632,5.9416,5.956,357437.36,2
