date,account_value
2019-10-15,1186852.2132288
2019-10-16,1186397.3280288002
2019-10-17,1219449.2560288
2019-10-18,1202468.4068288
2019-10-21,1177147.9956288
2019-10-22,1169568.1072288002
2019-10-23,1167445.3096288
2019-10-24,1135758.0372288001
2019-10-25,1147431.8924288002
2019-10-28,1143944.4392288001
2019-10-29,1113318.5656288
2019-10-30,1177754.5092288002
2019-10-31,1156074.7112288
2019-11-01,1156224.8080288
2019-11-04,1177906.1376288002
2019-11-05,1194432.1016288002
2019-11-06,1190944.6484288
2019-11-07,1185487.5576288002
2019-11-08,1180635.4488288
2019-11-11,1179574.0500288
2019-11-12,1174418.6844288001
2019-11-13,1158802.4908288
2019-11-14,1151222.6024288
2019-11-15,1143186.2972288001
2019-11-18,1152284.0012288
2019-11-19,1153800.2852288
2019-11-20,1157892.7204288002
2019-11-21,1152284.0012288
2019-11-22,1133635.2396288002
2019-11-25,1137577.5780288002
2019-11-26,1156831.3216288001
2019-11-27,1151374.2308288
2019-11-28,1158044.3488288003
2019-11-29,1139093.8620288002
2019-12-02,1150767.7172288003
2019-12-03,1144096.0676288002
2019-12-04,1139698.8440288003
2019-12-05,1162138.3156288
2019-12-06,1178815.9080288003
2019-12-09,1174418.6844288001
2019-12-10,1193219.0744288
2019-12-11,1189126.6392288
2019-12-12,1185942.4428288
2019-12-13,1198222.8116288001
2019-12-16,1191551.1620288
2019-12-17,1194735.3584288002
2019-12-18,1189126.6392288
2019-12-19,1187155.4700288002
2019-12-20,1199435.8388288002
2019-12-23,1187913.6120288002
2019-12-24,1179574.0500288
2019-12-25,1176086.5968288002
2019-12-26,1180180.5636288002
2019-12-27,1171387.6480288003
2019-12-30,1180483.8204288
2019-12-31,1193977.2164288
2020-01-02,1172902.4004288001
2020-01-03,1171994.1616288
2020-01-06,1146218.8652288003
2020-01-07,1140911.8712288002
2020-01-08,1138032.4632288
2020-01-09,1145612.3516288002
2020-01-10,1151070.9740288001
2020-01-13,1151525.8592288
2020-01-14,1130451.0432288
2020-01-15,1114379.9644288002
2020-01-16,1114228.3360288
2020-01-17,1110740.8828288002
2020-01-20,1090879.0940288003
2020-01-21,1067379.7552288002
